Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Supplier
SAMSUNG,0.1uF,C3 C4,C_0402_1005Metric,2,C1525,JLC
SAMSUNG,4.7uF,C1 C2,C_0402_1005Metric,2,C23733,JLC
EVERLIGHT,LED_BLU,D3,LED_0603_1608Metric,1,C72041,JLC
EVERLIGHT,LED_YEL,D1 D2,LED_0603_1608Metric,2,C72038,JLC
KENTO,LED_RED,D4,LED_0603_1608Metric,1,C2286,JLC
UniOhm,1K,R3,R_0402_1005Metric,1,C11702,JLC
UniOhm,1.5K,R12 R13 R14 R15,R_0402_1005Metric,4,C25867,JLC
UniOhm,5.1K,R4 R5,R_0402_1005Metric,2,C25905,JLC
LRC,LESD5Z5.0CT1G,D5 D6 D7 D8 D9 D10 D11,D_SOD-523,7,C136167,JLC-EXT
HRO,USB-C,J1,HRO_TYPE-C-31-M-12,1,C165948,JLC-EXT
SILICON LABS,CP2102N-A02-GQFN24,U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,C969151,JLC-EXT
YAGEO,22.1K,R1,R_0402_1005Metric,1,C163478,JLC-EXT
YAGEO,47.5K,R2,R_0402_1005Metric,1,C137974,JLC-EXT
Nexperia,PUMH4,115,Q1 Q1,SOT-363_SC-70-6,2,C455002,JLC-EXT
